BN Layers,Dropout ID,Dopout CONV,Dropout Prob,Accuracy,Traning Time,TTA 0.87
0,0,0,0,0.7084000111,708.5356054,82.08244348
0,1,1,0.2,0.7103000283,705.0644441,87.68791294
0,2,2,0.2,0.6967999935,716.3103256,118.2102714
0,3,3,0.2,0.681400001,744.164206,136.9405706
1,0,0,0,0.7210999727,716.01666,60.92034793
1,1,1,0.2,0.746900022,734.2865248,76.42478275
1,2,2,0.2,0.757700026,743.4480057,115.4162755
1,3,3,0.2,0.7508000135,767.3323245,119.0859773
2,0,0,0,0.6614000201,739.5686772,87.94727118
2,1,1,0.2,0.7508999705,728.4942226,84.46076798
2,2,2,0.2,0.7585999966,746.7530069,130.8876004
2,3,3,0.2,0.7451000214,816.8732274,135.1029692
3,0,0,0,0.709100008,827.273701,294.1397042
3,1,1,0.2,0.7146999836,840.200743,364.3352873
3,2,2,0.2,0.7390000224,854.6738782,515.2273376
3,3,3,0.2,0.7583000064,877.175209,538.9585972
